"服务编号","子服务1","子服务2","子服务3","子服务4","子服务5","子服务6","子服务7","子服务8","子服务9","子服务10","子服务11","子服务12","子服务13","子服务14","子服务15","子服务16","子服务17","子服务18","子服务19","子服务20","子服务21","子服务22","子服务23","子服务24","子服务25","子服务26","子服务27","子服务28","子服务29","子服务30","条件1","参数11","参数12","条件2","参数21","参数22","条件3","参数31","参数32","条件4","参数41","参数42","条件5","参数51","参数52","条件6","参数61","参数62","条件7","参数71","参数72","条件8","参数81","参数82","条件9","参数91","参数92","标示图标","描述","菜单介绍","打开网页","是否自动"
"999720","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","兑换130级装备","","",""
"999721","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","兑换100级灵饰","","",""
"999722","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","兑换金币","","",""
"999723","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","兑换仙玉","","",""
"999724","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","兑换神兜兜","","",""
"999725","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","兑换神兽丹","","",""
"999726","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","属性兑换","","",""
"999758","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","重置任务链","","",""
"999996","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","强制离婚","","",""
"999997","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","和平离婚","","",""
"999998","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","结婚","","",""
"999854","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","穿越时空","<T t=""你只要找到5颗时空能量。我就让你们穿越时空，送你们去黄金古城！""></T>","",""
"999855","999854","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","捉拿蚩尤","<T t=""你只要找到5颗时空能量。我就让你们穿越时空，送你们去黄金古城！""></T>","",""
"800101","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","1010000","1","","","","","","","","","","","","","","","","","","","","","","","","","5","师门切磋","","",""
"800102","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","师门任务","","","1"
"801529","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","135","","21","","","","","","","","","","","","","","","","","","","","","","","","2","领取押镖任务","","",""
"801531","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","进入神兽乐园","","",""
"253998","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","兑换珍兽","","",""
"253999","254000","910107","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","神兽相关","<T t=""少侠若有99个"" c=""FFFFF2DF"" f=""simhei-13""></T><I s='ccui1' i='s0'></I><T t=""神兜兜，就可在老道这兑换一只"" c=""FFFFF2DF"" f=""simhei-13""></T><T t=""随机神兽"" c=""FFFFFF00"" f=""simhei-13""></T><T t=""。"" c=""FFFFF2DF"" f=""simhei-13""></T>","",""
"254000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","兑换神兽","","",""
"254001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","我来兑换超级神羊","","",""
"254002","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","我来兑换超级泡泡","","",""
"254003","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","我来兑换超级九色鹿","","",""
"254004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","我来兑换超级大熊猫","","",""
"254005","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","我来兑换超级神鸡","","",""
"254006","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","我来兑换超级神猴","","",""
"254007","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","我来兑换超级赤焰兽","","",""
"254008","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","我来兑换超级神龙","","",""
"254009","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","神兽兑换预留2","","",""
